LOCATION,TIME,Value
DEU,2019-Q4,0.894534052
DEU,2020-Q1,-1.919182065
DEU,2020-Q2,-11.286579908
DEU,2020-Q3,-3.660077954
DEU,2020-Q4,-2.871620591
DEU,2021-Q1,-2.792772679
DEU,2021-Q2,10.351161574
DEU,2021-Q3,2.889175259
DEU,2021-Q4,1.775371405
GRC,2008-Q1,2.385711643
GRC,2008-Q2,-1.147594182
GRC,2008-Q3,-0.624737981
GRC,2008-Q4,-1.52470938
GRC,2009-Q1,-6.770290811
GRC,2009-Q2,-3.564516207
GRC,2009-Q3,-4.170677348
GRC,2009-Q4,-2.688349298
GRC,2010-Q1,-3.566140916
GRC,2010-Q2,-9.645744466
GRC,2010-Q3,-11.992466326
GRC,2010-Q4,-12.777574794
GRC,2011-Q1,-11.178066134
GRC,2011-Q2,-9.407657783
GRC,2011-Q3,-8.212286974
GRC,2011-Q4,-11.656932405
GRC,2012-Q1,-8.360119298
GRC,2012-Q2,-8.322230769
GRC,2012-Q3,-7.784343769
GRC,2012-Q4,-4.224062567
GRC,2013-Q1,-4.899208785
GRC,2013-Q2,-3.059194259
GRC,2013-Q3,-1.620928861
GRC,2013-Q4,-0.196708805
GRC,2014-Q1,0.772213741
GRC,2014-Q2,0.356262441
GRC,2014-Q3,1.419701767
GRC,2014-Q4,-0.28054779
GRC,2015-Q1,0.316165312
GRC,2015-Q2,0.512329301
GRC,2015-Q3,-2.420556518
GRC,2015-Q4,0.389607142
GRC,2016-Q1,-1.132581485
GRC,2016-Q2,-1.313975175
GRC,2016-Q3,0.869921535
GRC,2016-Q4,-0.289056264
GRC,2017-Q1,0.476247628
GRC,2017-Q2,1.252814859
GRC,2017-Q3,2.026139441
GRC,2017-Q4,0.476950677
GRC,2018-Q1,2.106578897
GRC,2018-Q2,1.713274446
GRC,2018-Q3,0.376089948
GRC,2018-Q4,1.96671462
GRC,2019-Q1,1.186606592
GRC,2019-Q2,2.147844418
GRC,2019-Q3,2.328889918
GRC,2019-Q4,1.371194261
GRC,2020-Q1,-1.386897353
GRC,2020-Q2,-15.485028491
GRC,2020-Q3,-10.817381115
GRC,2020-Q4,-6.918963405
